player_id,season,competition_id,season_end,appearances,minutes_played,goals,assists,yellow_cards,red_cards,clubs_in_season,name,position,sub_position,foot,height_in_cm,country_of_citizenship,date_of_birth,age_at_season_end,valuation_date,valuation_gap_days,target_market_value_in_eur,target_log_market_value
65,2012,GB1,2013-05-19,33,2849.0,15.0,4.0,1.0,0.0,1,Dimitar Berbatov,Attack,Centre-Forward,,,Bulgaria,1981-01-30,32.3,2013-07-02,44,5000000,15.424948670398354
132,2012,GB1,2013-05-19,10,612.0,2.0,1.0,2.0,0.0,1,Tomas Rosicky,Midfield,Attacking Midfield,both,179,Czech Republic,1980-10-04,32.62,2013-07-02,44,2000000,14.508658238524095
488,2012,GB1,2013-05-19,14,1109.0,0.0,0.0,0.0,0.0,1,Gerhard Tremmel,Goalkeeper,Goalkeeper,,,Germany,1978-11-16,34.51,2013-07-02,44,1000000,13.815511557963774
1327,2012,GB1,2013-05-19,3,139.0,0.0,0.0,1.0,0.0,1,Alou Diarra,Midfield,Defensive Midfield,right,189,France,1981-07-15,31.84,2013-05-30,11,1250000,14.038654909278163
1368,2012,GB1,2013-05-19,31,2477.0,0.0,2.0,2.0,0.0,1,Guy Demel,Defender,Right-Back,,,Cote d'Ivoire,1981-06-13,31.93,2013-07-02,44,1500000,14.220976332738882
2874,2012,GB1,2013-05-19,23,877.0,5.0,2.0,0.0,0.0,1,Mladen Petric,Attack,Centre-Forward,,,Croatia,1981-01-01,32.38,2013-07-02,44,2000000,14.508658238524095
2953,2012,GB1,2013-05-19,14,1260.0,0.0,1.0,6.0,0.0,1,Paul Scharner,Midfield,Defensive Midfield,right,191,Austria,1980-03-11,33.19,2013-06-30,42,1500000,14.220976332738882
2998,2012,GB1,2013-05-19,35,3150.0,1.0,0.0,5.0,0.0,1,Robert Huth,Defender,Centre-Back,,,Germany,1984-08-18,28.75,2013-07-02,44,8000000,15.894952224644102
3109,2012,GB1,2013-05-19,36,3222.0,10.0,9.0,5.0,0.0,1,Steven Gerrard,Midfield,Central Midfield,right,183,England,1980-05-30,32.97,2013-07-02,44,9000000,16.012735246411598
3146,2012,GB1,2013-05-19,2,180.0,0.0,0.0,0.0,0.0,1,Shay Given,Goalkeeper,Goalkeeper,right,185,Ireland,1976-04-20,37.08,2013-07-02,44,1000000,13.815511557963774
