season,row_count,mean_log_value,median_log_value,split
2012,489,15.173468284689612,15.068273812173889,train
2013,418,15.31966834725089,15.319588176962746,train
2014,417,15.409833311200629,15.424948670398354,train
2015,490,15.510302675803832,15.607270193858982,train
2016,502,15.581677294463788,15.607270193858982,train
2017,484,15.914578696060854,15.894952224644102,train
2018,482,16.164998454238336,16.118095750958314,train
2019,487,15.97383741410185,16.012735246411598,train
2020,499,15.991847751441759,16.118095750958314,train
2021,496,16.08115219584934,16.300417291085605,train
2022,526,16.290405879998563,16.52356082573315,train
2023,534,16.280385055337273,16.52356082573315,train
2024,544,16.288086682767545,16.555830084218602,test
2025,504,16.553234920920445,16.811242881518265,test
