model,scope,rows,r2_log,rmse_log,median_absolute_percentage_error,mae_eur_millions
linear,overall,1048,0.6694793926414903,0.7167079327751184,35.872542,8.914263817748092
linear,position:Attack,295,0.6255792281267342,0.6942926537628128,34.609975,10.514195772881354
linear,position:Defender,374,0.6799220664547926,0.6948741829675128,35.885246,7.6187701711229945
linear,position:Goalkeeper,81,0.6783437772576962,0.7690007403107987,43.247033333333334,5.637396987654321
linear,position:Midfield,298,0.6401162475339974,0.7500283579569337,35.30666361607143,9.847018550335571
linear,value_band:<€2M,100,-3.966561151546135,1.668502178968617,269.19842500000004,3.23006444
linear,value_band:€2-10M,256,-0.8747361656211763,0.564867636665774,44.93516875,3.5336286796875
linear,value_band:€10-30M,443,-1.8270425909389956,0.4908534342671173,30.22668,7.492986916478555
linear,value_band:>€30M,249,-1.214355718369613,0.5359300525008177,28.365356363636362,19.257589923694777
ridge,overall,1048,0.6582682623713139,0.7287617965343076,35.25611957142857,8.731038179389312
ridge,position:Attack,295,0.6073179848523647,0.7110221143394163,33.966924,10.209987322033898
ridge,position:Defender,374,0.6665775737885993,0.7092114080400292,36.10175111111111,7.565195278074866
ridge,position:Goalkeeper,81,0.6868205318875993,0.7588001711323112,43.70478,5.375875098765432
ridge,position:Midfield,298,0.629258213999238,0.7612588118996623,33.48795357142857,9.642123607382551
ridge,value_band:<€2M,100,-4.376413989576035,1.7359820721366346,286.1732333333333,3.54383278
ridge,value_band:€2-10M,256,-0.9154025784408402,0.5709612680220132,43.903925,3.533506328125
ridge,value_band:€10-30M,443,-1.7839934151803138,0.4871018287249127,29.886266666666668,7.342269198645599
ridge,value_band:>€30M,249,-1.0638752365385362,0.517399657671732,27.449687499999996,18.628682164658635
random_forest,overall,1048,0.7226722530148869,0.6565073642613326,37.03289788461538,8.911155854007633
random_forest,position:Attack,295,0.6880509454478125,0.63373025275934,34.06039642857143,10.678718569491526
random_forest,position:Defender,374,0.70777454707537,0.6639529874553247,40.39526225,8.086545195187165
random_forest,position:Goalkeeper,81,0.6513102539322999,0.800664120368229,45.784575,6.211976962962963
random_forest,position:Midfield,298,0.7500786709132576,0.6250262032292168,33.78112267857143,8.929970872483223
random_forest,value_band:<€2M,100,-2.5267754731815697,1.406007995889739,247.43620535714285,2.3383098799999997
random_forest,value_band:€2-10M,256,-1.1512069427908567,0.605086843116946,48.56389875,3.96473449609375
random_forest,value_band:€10-30M,443,-2.1746293551822675,0.5201542748629774,30.339475999999998,8.773868591422122
random_forest,value_band:>€30M,249,-0.25138602211887884,0.40288404309718023,26.740404,16.880580441767066
