player_id,name,season,position,actual_value_eur,predicted_value_eur,error_eur,error_pct,direction
1005575,Vitor Reis,2024,Defender,30000000,3893721,-26106279,-87.02092999999999,undervalued
991800,Luís Guilherme,2024,Attack,15000000,2034941,-12965059,-86.43372666666667,undervalued
696346,Jay Stansfield,2024,Attack,11000000,1651743,-9348257,-84.98415454545454,undervalued
689637,Chadi Riad,2024,Defender,15000000,2283184,-12716816,-84.77877333333333,undervalued
989112,Veljko Milosavljevic,2025,Defender,20000000,3701334,-16298666,-81.49333,undervalued
369316,Ferdi Kadıoğlu,2024,Defender,25000000,4909490,-20090510,-80.36204000000001,undervalued
683620,Antoni Milambo,2025,Midfield,15000000,3073738,-11926262,-79.50841333333334,undervalued
994536,Claudio Echeverri,2024,Midfield,18000000,4607131,-13392869,-74.40482777777778,undervalued
719673,Ben Gannon-Doak,2025,Attack,15000000,4604477,-10395523,-69.30348666666667,undervalued
923831,Leny Yoro,2024,Defender,55000000,16997522,-38002478,-69.09541454545455,undervalued
